id,item,resp
92,item_1,0
320,item_1,0
352,item_2,0
26,item_2,0
200,item_2,0
515,item_2,0
48,item_2,0
5,item_2,0
144,item_2,0
70,item_2,0
181,item_3,0
40,item_3,0
13,item_4,0
306,item_4,0
45,item_5,0
452,item_5,0
285,item_6,0
426,item_7,0
397,item_7,0
129,item_7,0
286,item_7,0
274,item_7,0
170,item_7,0
97,item_9,0
53,item_10,0
3,item_10,0
353,item_11,0
59,item_11,0
268,item_12,0
7,item_12,0
230,item_13,0
310,item_13,0
253,item_14,0
522,item_16,0
297,item_16,0
47,item_16,0
482,item_16,0
145,item_17,0
451,item_17,0
4,item_17,0
373,item_17,0
226,item_17,0
261,item_18,0
388,item_18,0
252,item_18,0
320,item_18,0
506,item_18,0
306,item_18,0
381,item_19,0
428,item_19,0
337,item_19,0
324,item_19,0
499,item_20,0
310,item_20,0
307,item_20,0
446,item_20,0
3,item_2,1
65,item_2,1
212,item_3,1
374,item_3,1
251,item_4,1
213,item_4,1
93,item_5,1
141,item_5,1
292,item_6,1
157,item_6,1
232,item_6,1
439,item_7,1
157,item_7,1
201,item_7,1
192,item_8,1
520,item_8,1
273,item_8,1
384,item_8,1
401,item_8,1
467,item_8,1
511,item_9,1
278,item_9,1
36,item_9,1
104,item_9,1
273,item_10,1
531,item_11,1
42,item_11,1
259,item_11,1
98,item_12,1
164,item_12,1
142,item_12,1
437,item_12,1
197,item_14,1
482,item_14,1
91,item_15,1
323,item_15,1
96,item_15,1
184,item_15,1
197,item_16,1
351,item_16,1
31,item_17,1
149,item_17,1
453,item_17,1
400,item_18,1
282,item_18,1
64,item_18,1
109,item_19,1
127,item_19,1
445,item_20,1
414,item_1,0
8,item_1,0
134,item_1,0
228,item_1,0
511,item_2,0
524,item_2,0
265,item_2,0
233,item_2,0
390,item_2,0
260,item_2,0
426,item_2,0
29,item_3,0
454,item_3,0
296,item_3,0
9,item_3,0
120,item_4,0
166,item_4,0
412,item_7,0
35,item_7,0
107,item_7,0
355,item_7,0
426,item_9,0
534,item_9,0
503,item_9,0
347,item_10,0
176,item_10,0
140,item_11,0
181,item_12,0
57,item_13,0
291,item_13,0
524,item_14,0
181,item_14,0
220,item_15,0
470,item_15,0
123,item_15,0
326,item_17,0
5,item_17,0
352,item_17,0
161,item_17,0
491,item_17,0
395,item_18,0
347,item_19,0
363,item_19,0
268,item_20,0
166,item_20,0
11,item_20,0
297,item_20,0
212,item_20,0
40,item_20,0
29,item_20,0
413,item_1,1
107,item_1,1
115,item_1,1
255,item_1,1
154,item_1,1
87,item_1,1
388,item_2,1
186,item_3,1
403,item_3,1
356,item_3,1
38,item_4,1
100,item_4,1
287,item_4,1
313,item_4,1
226,item_4,1
163,item_5,1
488,item_5,1
56,item_5,1
378,item_5,1
338,item_6,1
457,item_8,1
391,item_8,1
366,item_8,1
188,item_8,1
174,item_9,1
390,item_9,1
119,item_9,1
268,item_9,1
247,item_9,1
374,item_10,1
173,item_11,1
48,item_11,1
164,item_11,1
223,item_11,1
450,item_11,1
341,item_11,1
95,item_11,1
179,item_11,1
243,item_12,1
535,item_13,1
50,item_13,1
322,item_13,1
203,item_14,1
218,item_14,1
244,item_14,1
263,item_14,1
99,item_14,1
241,item_15,1
474,item_15,1
151,item_15,1
376,item_16,1
162,item_16,1
80,item_17,1
174,item_17,1
87,item_17,1
216,item_17,1
125,item_17,1
70,item_18,1
456,item_19,1
400,item_19,1
434,item_20,1
42,item_20,1
458,item_20,1
494,item_20,1
71,item_1,0
119,item_1,0
408,item_1,0
181,item_1,0
261,item_2,0
101,item_2,0
320,item_2,0
244,item_2,0
194,item_4,0
351,item_4,0
1,item_5,0
327,item_5,0
519,item_5,0
435,item_6,0
531,item_7,0
212,item_7,0
327,item_7,0
480,item_7,0
457,item_7,0
342,item_7,0
309,item_7,0
536,item_7,0
525,item_8,0
495,item_8,0
506,item_9,0
170,item_10,0
346,item_10,0
356,item_10,0
188,item_10,0
177,item_10,0
109,item_10,0
401,item_11,0
8,item_11,0
9,item_11,0
499,item_12,0
68,item_12,0
270,item_13,0
462,item_13,0
317,item_13,0
38,item_13,0
265,item_14,0
17,item_14,0
510,item_15,0
51,item_15,0
77,item_15,0
492,item_15,0
118,item_15,0
225,item_15,0
143,item_16,0
134,item_16,0
534,item_16,0
264,item_16,0
308,item_17,0
371,item_17,0
377,item_17,0
66,item_17,0
442,item_18,0
233,item_18,0
250,item_18,0
460,item_19,0
143,item_20,0
524,item_20,0
51,item_20,0
328,item_1,1
142,item_2,1
256,item_2,1
141,item_3,1
300,item_3,1
461,item_3,1
378,item_3,1
43,item_4,1
497,item_4,1
94,item_4,1
509,item_4,1
270,item_5,1
65,item_5,1
305,item_5,1
36,item_5,1
280,item_5,1
198,item_5,1
459,item_5,1
126,item_5,1
498,item_5,1
178,item_6,1
384,item_6,1
316,item_6,1
270,item_6,1
136,item_8,1
386,item_9,1
77,item_9,1
55,item_9,1
52,item_9,1
288,item_10,1
147,item_10,1
368,item_11,1
340,item_11,1
245,item_12,1
99,item_12,1
92,item_12,1
452,item_12,1
93,item_13,1
66,item_14,1
287,item_17,1
325,item_17,1
319,item_18,1
146,item_18,1
520,item_18,1
369,item_18,1
137,item_20,1
345,item_1,0
137,item_1,0
139,item_2,0
493,item_2,0
195,item_2,0
66,item_3,0
51,item_3,0
69,item_4,0
311,item_4,0
102,item_4,0
227,item_5,0
483,item_5,0
365,item_5,0
505,item_6,0
41,item_6,0
269,item_7,0
185,item_7,0
22,item_7,0
178,item_7,0
488,item_7,0
193,item_8,0
90,item_9,0
522,item_9,0
217,item_9,0
171,item_9,0
437,item_10,0
484,item_10,0
415,item_11,0
529,item_11,0
208,item_13,0
367,item_13,0
393,item_15,0
143,item_15,0
211,item_15,0
52,item_16,0
111,item_17,0
40,item_17,0
482,item_17,0
353,item_17,0
355,item_19,0
393,item_19,0
294,item_20,0
477,item_20,0
345,item_20,0
350,item_20,0
60,item_1,1
113,item_1,1
466,item_1,1
11,item_2,1
398,item_2,1
223,item_2,1
39,item_2,1
313,item_3,1
99,item_3,1
330,item_3,1
281,item_3,1
82,item_3,1
350,item_3,1
486,item_4,1
90,item_4,1
339,item_4,1
10,item_5,1
397,item_5,1
108,item_5,1
468,item_5,1
218,item_6,1
363,item_6,1
183,item_6,1
311,item_6,1
322,item_6,1
348,item_7,1
343,item_8,1
354,item_8,1
230,item_8,1
114,item_10,1
2,item_10,1
220,item_10,1
66,item_10,1
196,item_11,1
440,item_11,1
463,item_12,1
381,item_12,1
396,item_12,1
132,item_13,1
116,item_13,1
169,item_13,1
528,item_15,1
438,item_16,1
429,item_16,1
335,item_16,1
501,item_16,1
283,item_16,1
391,item_16,1
394,item_17,1
350,item_18,1
453,item_19,1
387,item_1,0
97,item_1,0
17,item_1,0
135,item_2,0
15,item_2,0
120,item_2,0
327,item_2,0
148,item_2,0
16,item_2,0
263,item_3,0
407,item_3,0
531,item_3,0
211,item_3,0
326,item_3,0
437,item_3,0
329,item_4,0
375,item_4,0
75,item_5,0
495,item_5,0
507,item_6,0
415,item_6,0
436,item_6,0
53,item_7,0
68,item_7,0
144,item_7,0
52,item_7,0
334,item_8,0
170,item_8,0
255,item_8,0
436,item_9,0
177,item_9,0
446,item_10,0
373,item_10,0
141,item_10,0
17,item_11,0
419,item_11,0
261,item_12,0
134,item_13,0
389,item_13,0
493,item_13,0
521,item_13,0
